('1dX6oGAG5PaexuPj29PsYd',0.655,0.368,377000,0.267,2.24e-05,8,-9.395,0,0.0428,91.88,4,0.195)
('1w94WNyFYdUce5aMDV0b7D',2.09e-05,0.553,279693,0.733,7.43e-05,8,-4.431,1,0.0363,130.054,4,0.326)
('7dILpTTVVGexvFUYEoeviy',0.962,0.417,106133,0.0289,0.000967,0,-20.748,0,0.0519,84.5,5,0.0777)
('2vL7EBDzFBHLVOka1zHCQJ',0.406,0.745,209347,0.97,0.0211,11,-0.78,1,0.108,164.962,4,0.882)
('1cCbsojaA6GIT7Y3zuMJ1q',0.153,0.529,107533,0.533,0.816,7,-9.706,1,0.329,167.818,4,0.372)
('69Zl2MdeQE8twZdiMXJXxZ',0.00388,0.492,186867,0.797,0,11,-4.666,1,0.0388,79.513,4,0.533)
('4PzPvpE63ttEbKyMDRWB6q',0.759,0.638,230973,0.336,0,2,-7.52,1,0.0248,78.86,4,0.557)
('0i8JFpqe9cKwnrcvoNgl1L',0.00045,0.603,229933,0.886,0,5,-3.777,0,0.0837,126.025,4,0.39)
('0Q52Vb6HBTwOXZVRojUlxO',0.172,0.792,279198,0.574,2.35e-05,7,-11.718,0,0.0445,112.343,4,0.861)
('6V0A3jkb9ntudO0kmcJ1xd',0.262,0.657,184053,0.817,0.00674,0,-4.415,1,0.0554,107.995,4,0.662)
('1vH5yksqjQIyxX03ywy0e1',0.203,0.64,278240,0.715,0,0,-5.412,1,0.0376,115.025,4,0.356)
('3CwK0oEtu9bCl0R5nuMzjx',0.61,0.704,183609,0.45,0.778,1,-9.908,1,0.0748,85.053,4,0.512)
('0SFpnHZ1EPFA4YNDhSYbyB',0.154,0.638,271200,0.497,5.13e-06,7,-7.257,1,0.0315,82.793,4,0.393)
('34gCuhDGsG4bRPIf9bb02f',0.474,0.781,281560,0.445,0,2,-6.061,1,0.0295,78.998,4,0.584)
('0xdTS1MT8iiH4y9fyM4Fs0',0.774,0.861,244200,0.495,0.00291,8,-8.729,1,0.0318,118.072,4,0.817)
('5j5VWNQI4nMOyjzOZJSwDg',0.852,0.246,302640,0.00408,0.00294,7,-26.539,1,0.0489,178.409,4,0.13)
('427N69gD2JMO6nICj2ehnn',0.954,0.233,101693,0.201,0.0666,7,-10.505,1,0.036,39.374,3,0.0819)
('3yDs6wQuSZ1Vvxm0uag51r',0.0279,0.626,246373,0.832,0.651,0,-7.969,0,0.0294,125.002,4,0.377)
('2AdAt28xts68wVi0GZw0kl',0.973,0.147,323907,0.00234,0.886,4,-21.672,1,0.0457,135.895,3,0.0287)
('1bQKQbps9rsrz6sw2MT0nx',0.000494,0.267,324253,0.793,0.000495,4,-4.128,0,0.0347,79.855,4,0.335)
('5u5wvBQcUTzRzN7dwkrFUB',0.0215,0.546,201547,0.899,4.88e-05,7,-1.589,0,0.16,127.972,4,0.459)
('4nrtux8xl5lYegU8II5rAQ',0.00106,0.553,310307,0.856,0,8,-6.316,0,0.0465,155.877,4,0.474)
('4kMv4k4asedawsQGEVnNye',0.000436,0.334,325960,0.964,0.00189,2,-4.677,1,0.0625,113.202,4,0.4)
('0IS2xSiwCLA2uNSqB6MBOR',0.505,0.459,206960,0.44,0.000577,5,-12.242,1,0.134,97.516,4,0.311)
('73kYV1oNXZcy1thRCjTB37',0.0214,0.522,241653,0.874,0,10,-5.525,1,0.0307,144.038,3,0.68)
('17TOXAjEEwRHDhA0fWJ9ZF',0.136,0.81,268958,0.536,0.000238,11,-10.392,0,0.139,96.024,4,0.575)
('5K5pv59KSkGrMZSeMG82AM',0.736,0.648,212680,0.405,0,3,-7.112,1,0.0337,150.063,4,0.754)
('6vYgCVhPyr6cSzyROqf8fd',0.0372,0.369,70933,0.946,0,2,-3.431,1,0.252,80.949,4,0.647)
('7LasMIQf4A3JqzzW86VTJa',0.000228,0.0735,266560,0.929,0.0267,4,-4.825,1,0.123,186.509,4,0.277)
('2lSIsVvagtbcgKRgHGRqrM',0.109,0.521,215827,0.661,0,9,-5.887,0,0.0565,128.992,4,0.195)
